születésnapi ajándék,0,2000,50000
karácsonyi ajándék,0,2000,100000
névnapi ajándék,0,1000,30000
esküvői ajándék,0,10000,200000
nászajándék,0,10000,200000
ballagási ajándék,0,2000,50000
babaköszöntő ajándék,0,3000,50000
házavató ajándék,0,3000,50000
virág,0,1000,30000
csokor,0,2000,30000
üdvözlőkártya,0,500,5000
csomagolópapír,0,200,3000
ajándékcsomagolás,0,500,5000
jótékonysági adomány,0,1000,100000
templomi adomány,0,500,20000
születésnapi vacsora,0,5000,100000
születésnapi dekoráció,0,1000,30000
születésnapi helyszín,0,5000,150000
születésnapi fotós,0,20000,150000
meglepetésparti,0,10000,200000
lánybúcsú,0,5000,100000
legénybúcsú,0,5000,100000
évfordulós ajándék,0,3000,100000
húsvéti dekoráció,0,1000,20000
adventi koszorú,0,2000,30000
adventi gyertya,0,500,10000
mikulásajándék,0,1000,30000
