pelenka,1,5000,20000
babatáp,1,5000,20000
cumi,0,500,10000
csörgő,0,1000,15000
nedves törlőkendő,1,1000,4000
kiságy,0,30000,300000
pelenkázóasztal,0,20000,250000
babahordozó,0,10000,150000
autós gyerekülés,0,30000,300000
hordozókendő,0,5000,80000
babaágynemű,0,3000,30000
babatakaró,0,3000,30000
popsitörlő,1,1000,2000
babafürdető,1,1000,1000
babaolaj,1,1000,1000
babasampon,1,1000,1000
babaápoló,1,1000,1000
cumisüveg,0,1000,15000
cumisüvegfej,0,500,8000
cumi,0,500,10000
cumisüvegmosó,0,1000,10000
sterilizáló,0,5000,50000
babamérleg,0,5000,50000
bébiőr,0,10000,100000
gyermekbiztosító zár,0,500,10000
konnektorvédő,0,500,10000
sarokvédő,0,500,10000
lépcsőrács,0,5000,50000
babaruha,0,1000,30000
body,0,1000,15000
rugdalózó,0,1500,20000
babacipő,0,2000,30000
gyermekorvosi vizit,0,5000,30000
gyermekgyógyszer,0,1000,30000
babafotózás,0,10000,100000
keresztelői ruha,0,5000,50000
