telefon,0,20000,500000
telefontok,0,1000,30000
telefonfólia,0,500,15000
telefontöltő,0,2000,30000
USB-kábel,0,500,10000
powerbank,0,5000,50000
okosóra,0,20000,300000
okosotthon-eszköz,0,3000,300000
elem,0,300,10000
akkumulátor,0,1000,100000
izzó,0,500,10000
hosszabbító,0,1000,15000
elosztó,0,1000,15000
e-book olvasó,0,20000,150000
e-book olvasó tok,0,3000,30000
e-book olvasó töltő,0,2000,20000
HDMI-adapter,0,1000,20000
USB-adapter,0,500,15000
Bluetooth-fülhallgató,0,5000,100000
fülhallgató szilikon illeszték,0,500,10000
fejhallgató párna,0,1000,15000
fejhallgató kábel,0,1000,15000
