rágógumi,0,100,2000
véletlen vásárlás,0,500,100000
gyerekzsúr,0,5000,100000
játszóház,0,2000,20000
gyermekprogram,0,1000,30000
gyerekmozi,0,1000,10000
gyermekelőadás,0,1000,20000
gyerekfoglalkozás,0,1000,20000
gyerekúszás,1,3000,3000
gyerekedzés,1,3000,3000
gyerektábor,0,20000,30000
nyári tábor,0,20000,30000
sporttábor,0,20000,30000
napközis tábor,0,10000,20000
gyerekfelügyelet,0,2000,4000
tornazsák,0,2000,15000
tornacipő,0,5000,40000
iskolai tanszer,0,500,30000
füzetcsomag,0,1000,10000
körző,0,500,5000
iskolai kirándulás,0,3000,50000
osztálykirándulás,0,5000,100000
színházlátogatás,0,2000,30000
iskolai ebéd,1,3000,5000
napközi,1,3000,4000
korrepetálás,0,3000,10000
hangszeróra,1,3000,40000
