útlevél hosszabbítás,0,5000,30000
vízum,0,5000,100000
konzuli díj,0,5000,100000
hivatalos fénykép,0,2000,10000
okmányirodai ügyintézés,0,1000,30000
lakcímváltozás miatti okmánycsere,0,0,10000
névváltozás miatti okmánycsere,0,0,10000
postázott hivatalos dokumentum,0,500,10000
parkolási engedély,0,1000,50000
lakossági parkolókártya,0,1000,50000
orvosi alkalmassági vizsgálat jogosítványhoz,0,5000,20000
vezetői engedély pótlása,0,5000,15000
közjegyzői díj,0,5000,500000
ügyvédi díj,0,10000,1000000
könyvelő,0,10000,150000
okmányirodai illeték,0,1000,50000
útlevél,0,5000,30000
személyi igazolvány,0,0,10000
jogosítvány,0,5000,30000
lakcímkártya,0,0,10000
fénykép igazolványhoz,0,2000,10000
