lakásfelmérés,0,10000,100000
energetikai tanúsítvány,0,20000,60000
lakás értékbecslés,0,20000,100000
ingatlanfotózás,0,10000,100000
ingatlanhirdetés,0,5000,50000
ingatlanhirdetés kiemelése,0,1000,20000
lakás alaprajz készítése,0,10000,80000
ingatlanos jutalék,0,100000,5000000
lakáskulcs másolás,0,1000,10000
kapunyitó távirányító,0,3000,30000
kapunyitó elem,0,200,3000
zárbetét,0,3000,50000
biztonsági zár,0,10000,100000
ajtónyitás lakatos által,0,10000,50000
elveszett kulcs miatti lakatos,0,10000,80000
postaláda javítás,0,2000,30000
postaláda csere,0,5000,50000
névtábla készítés,0,1000,10000
házszámtábla,0,1000,15000
csengő,0,1000,15000
csengőelem,0,200,3000
kapucsengő,0,3000,30000
kaputelefon javítás,0,5000,50000
videókaputelefon,0,30000,200000
riasztó akkumulátor,0,5000,30000
riasztó karbantartás,0,5000,50000
riasztó kivonulási díj,0,10000,100000
biztonsági kamera tárhely,1,1000,30000
kamera felszerelés,0,10000,100000
nyitásérzékelő,0,2000,20000
füstérzékelő elem,0,200,3000
CO-érzékelő csere,0,5000,30000
tűzoltó készülék ellenőrzés,0,2000,15000
tűzoltó készülék töltés,0,3000,20000
értékbecslés,0,10000,100000
közjegyző,0,5000,500000
jelzálog-bejegyzés,0,10000,100000
földhivatali illeték,0,1000,100000
ingatlan-nyilvántartási díj,0,1000,50000
biztosítási adminisztrációs díj,0,500,30000
kárbejelentéshez kapcsolódó költség,0,500,100000
