bicikliszerviz,0,3000,100000
bicikligumi,0,3000,30000
biciklialkatrész,0,500,150000
rollerjavítás,0,3000,100000
biciklitároló,0,5000,150000
biciklitartó,0,5000,100000
kerékpárszállító,0,10000,300000
kerékpáros hátizsák,0,5000,80000
kerékpáros szemüveg,0,3000,100000
sisakcsere baleset után,0,10000,100000
biciklicsengő,0,500,5000
biciklikürt,0,1000,10000
láncolaj,0,500,5000
lánctisztító,0,500,10000
kerékpármosás,0,1000,10000
kerékpárszerviz,0,3000,100000
lánccsere,0,5000,30000
kazettacsere,0,10000,50000
fékpofa,0,1000,15000
fékkábel,0,500,10000
váltókábel,0,500,10000
kerékpárkülső,0,5000,30000
belső gumi,0,1500,10000
küllőcsere,0,1000,15000
kerékcentrírozás,0,3000,20000
kerékpárnyereg,0,3000,100000
nyeregcső,0,3000,50000
kormánymarkolat,0,1000,20000
pedál,0,2000,50000
kerékpáros komputer,0,5000,150000
biciklilámpa,0,1000,30000
lámpaelem,0,200,3000
fényvisszaverő,0,200,5000
elektromos roller töltő,0,5000,50000
roller gumi,0,3000,30000
roller akkumulátor,0,20000,150000
kerékpáros sisak,0,5000,100000
