fűnyírókés,0,2000,30000
fűkaszafej,0,1000,20000
damil,0,500,10000
láncfűrészlánc,0,3000,30000
láncfűrészolaj,0,1000,10000
láncélezés,0,1000,10000
sövényvágó,0,10000,150000
lombfúvó,0,10000,150000
lombzsák,0,500,5000
falevélszállítás,0,5000,50000
ágdarálás,0,5000,100000
tuskómarás,0,10000,150000
faaprítás,0,5000,100000
tűzifa vágás,0,5000,100000
tűzifa szállítás,0,5000,100000
kerti hulladék elszállítás,0,5000,50000
földszállítás,0,5000,200000
termőföld,0,3000,100000
mulcs,0,2000,50000
kavics,0,2000,100000
díszkő,0,3000,100000
térkő,0,3000,200000
kerítésjavítás,0,10000,300000
kerítésfestés,0,10000,200000
kerítésléc,0,1000,20000
kerítésoszlop,0,2000,30000
kapujavítás,0,5000,200000
kapufestés,0,5000,100000
kertépítő munkadíja,0,10000,500000
gyepszőnyeg,0,1000,10000
gyomirtó,0,1000,15000
gyeppermetezés,0,5000,50000
szobanövény,0,500,50000
balkonláda,0,1000,20000
balkonláda-tartó,0,1000,20000
tápoldat,0,500,10000
agyaggranulátum,0,500,10000
növénykaró,0,200,5000
növénykötöző,0,200,5000
permetező,0,1000,20000
növénypermet,0,500,10000
gombaölő,0,1000,15000
levéltetű elleni szer,0,1000,15000
csigariasztó,0,1000,15000
vakondriasztó,0,2000,30000
madáretető,0,1000,30000
madáritató,0,1000,20000
rovarhotel,0,2000,30000
komposztálóláda,0,5000,100000
kerti locsoló,0,1000,30000
csepegtetőcső,0,500,20000
öntözőóra,0,5000,50000
kerti slag,0,1000,30000
slagcsatlakozó,0,300,5000
kerti szerszámtároló,0,10000,300000
kerti tároló,0,20000,500000
kerti pad,0,10000,200000
függőágy,0,5000,100000
kültéri párna,0,1000,30000
kerti takaróponyva,0,2000,30000
grillsütő,0,10000,300000
grillkefe,0,500,10000
faszén,0,1000,10000
gyújtókocka,0,300,5000
cirkulációs szivattyú,0,10000,150000
vízszivárgás javítása,0,5000,200000
csőtörés elhárítás,0,20000,500000
csőfagyás elhárítás,0,10000,300000
csatornakamerázás,0,10000,100000
csatornatisztítás,0,10000,100000
szemetes,0,1000,50000
szelektív hulladékgyűjtő,0,2000,50000
komposztálóedény,0,3000,50000
kutyapiszok-zacskó,1,500,5000
kertiszerszám,0,500,100000
fűnyíró,0,30000,500000
fűnyíróbenzin,0,1000,10000
fűnyírókarbantartás,0,5000,50000
fűkasza,0,30000,300000
sövénynyíró,0,10000,200000
metszőolló,0,1000,20000
ásó,0,2000,30000
gereblye,0,1000,20000
kapa,0,1000,20000
talicska,0,5000,50000
locsolótömlő,0,1000,30000
tömlőkocsi,0,5000,50000
locsolófej,0,500,10000
kerti csap,0,2000,30000
esővízgyűjtő,0,10000,150000
komposztáló,0,5000,100000
komposzt,0,500,10000
virágpalánta,0,300,10000
vetőmag,0,200,10000
hagymás növény,0,300,10000
növényvédő szer,0,1000,20000
műtrágya,0,1000,30000
gyeptrágya,0,1000,30000
fűmag,0,500,15000
gyepfelülvetés,0,5000,50000
kertépítés,0,20000,1000000
kerttervezés,0,10000,300000
öntözőrendszer,0,20000,1000000
öntözőrendszer javítás,0,5000,200000
kerti bútor,0,10000,500000
napvitorla,0,5000,150000
kerti lámpa,0,1000,50000
kültéri hosszabbító,0,2000,30000
grill,0,10000,300000
grillezőrács,0,2000,30000
grilltisztító,0,500,10000
kerti hulladék elszállítása,0,5000,100000
hókotrás,0,5000,100000
síkosságmentesítő só,0,500,10000
homok,0,500,10000
hólapát,0,2000,20000
téli munkadíj,0,5000,200000
tavaszi kertészkedés,0,5000,200000
őszi metszés,0,5000,200000
falevél-elszállítás,0,5000,100000
