só,1,100,2000
bors,1,100,3000
paprika,1,100,3000
curry,0,200,3000
fahéj,0,200,3000
vanília,0,500,5000
sütőpor,0,200,2000
élesztő,0,100,2000
zselatin,0,200,3000
étkezési keményítő,0,200,3000
ételfesték,0,300,5000
csokoládé sütéshez,0,500,5000
dekorcukor,0,200,3000
hűtőszekrény,0,80000,500000
fagyasztóláda,0,60000,400000
borhűtő,0,50000,500000
sütő,0,50000,500000
főzőlap,0,30000,300000
indukciós főzőlap,0,50000,400000
elszívó,0,20000,300000
mosogatógép,0,80000,500000
mosógép,0,80000,500000
szárítógép,0,100000,500000
robotporszívó,0,50000,300000
gőztisztító,0,15000,100000
varrógép,0,30000,300000
kenyérsütő,0,20000,100000
dagasztógép,0,30000,300000
konyhai robotgép,0,30000,300000
air fryer,0,20000,150000
kontaktgrill,0,10000,80000
szendvicssütő,0,5000,50000
gofrisütő,0,5000,50000
rizsfőző,0,5000,50000
lassúfőző,0,5000,50000
elektromos grill,0,10000,100000
kávédaráló,0,5000,50000
tejhabosító,0,1000,20000
botmixer,0,5000,50000
aprítógép,0,5000,50000
gyümölcscentrifuga,0,10000,100000
jégkockakészítő,0,20000,150000
konyhai mérleg,0,2000,20000
digitális mérleg elem,0,200,3000
húshőmérő,0,1000,15000
sütőhőmérő,0,1000,10000
tojásszeletelő,0,500,5000
konzervnyitó,0,500,5000
dugóhúzó,0,500,10000
fokhagymanyomó,0,500,5000
reszelő,0,500,10000
szűrő,0,500,10000
vágódeszka,0,1000,20000
ételhordó,0,1000,15000
ételtároló edény,0,500,20000
vákuumfólia,0,1000,10000
vákuumcsomagoló tasak,0,1000,10000
befőttesüveg,0,200,5000
befőzőgumi,0,100,2000
befőzőcukor,0,500,5000
lekvárfőzés alapanyaga,0,500,20000
savanyítás alapanyaga,0,500,20000
házi sörfőző kellék,0,500,100000
tortasütő forma,0,1000,20000
muffinpapír,0,200,3000
habzsák,0,500,5000
sütődekoráció,0,300,10000
konyhai kés élezése,0,1000,10000
késélező,0,500,15000
evőeszközpótlás,0,500,20000
pohárpótlás,0,500,20000
tányértörés miatti pótlás,0,500,20000
bögrék,0,500,10000
termoszbögre,0,2000,20000
étkészlet,0,5000,50000
lábas,0,2000,30000
fazék,0,3000,50000
wok,0,3000,50000
tepsi,0,2000,30000
sütőrács,0,1000,20000
sütőtál,0,1000,20000
fedő,0,1000,15000
konyharuha,0,300,5000
edényfogó,0,500,5000
kötény,0,1000,10000
asztalterítő,0,1000,30000
tányéralátét,0,500,10000
szalvétatartó,0,500,10000
kenyértartó,0,2000,30000
fűszertartó,0,1000,20000
ételízesítő,1,200,5000
