társasjáték,0,3000,50000
videojáték,0,5000,50000
számítógépes játék,0,3000,50000
könyv,0,2000,30000
e-könyv,0,1000,20000
újság,0,500,5000
magazin,0,500,5000
képregény,0,1000,15000
prémium mozijegy,0,2500,6000
IMAX-jegy,0,3000,8000
opera,0,5000,50000
balett,0,5000,50000
fesztiváljegy,0,5000,150000
kiállításbelépő,0,1000,10000
botanikus kert,0,1000,5000
aquapark,0,3000,15000
cirkusz,0,3000,20000
stand-up est,0,3000,15000
minigolf,0,2000,10000
lézerharc,0,3000,15000
VR-élmény,0,3000,20000
videojáték-arcade,0,1000,10000
internetkávézó,0,1000,10000
koncert után hazajutás,0,1000,30000
ruhatár,0,300,2000
programfüzet,0,500,5000
koncertpóló,0,5000,30000
fesztiválzuhany,0,300,3000
kártyajáték,0,1000,20000
puzzle,0,1000,20000
kirakó,0,1000,20000
modellépítő készlet,0,3000,100000
makettfesték,0,500,10000
modellragasztó,0,500,5000
LEGO,0,3000,200000
kempingfelszerelés,0,5000,500000
wellness,0,5000,50000
fürdőbelépő,0,2000,10000
szauna,0,2000,10000
