vízcsap tömítés,0,200,3000
csaptelepbetét,0,1000,10000
csaptelep csere,0,5000,50000
zuhanycsap,0,5000,50000
zuhanycső,0,1000,10000
zuhanytömítés,0,200,3000
WC-tartály javítás,0,3000,30000
WC-tartály csere,0,10000,80000
WC-papír-tartó,0,500,10000
törölközőtartó,0,1000,15000
fürdőszobai polc,0,2000,30000
zuhanypolc,0,1000,20000
mosdódugó,0,300,5000
szifon,0,1000,15000
flexibilis vízcső,0,500,5000
víznyomáscsökkentő,0,3000,20000
vízlágyító só,0,1000,10000
vízlágyító karbantartás,0,5000,50000
bojler karbantartás,0,5000,30000
bojler vízkőtelenítés,0,10000,50000
bojler fűtőbetét,0,5000,30000
bojler biztonsági szelep,0,2000,10000
bojler csere,0,50000,300000
villanykörte,0,300,5000
LED-izzó,0,500,10000
fénycső,0,500,5000
fénycsőstarter,0,200,2000
lámpabúra,0,1000,30000
mennyezeti lámpa,0,3000,100000
asztali lámpa,0,2000,50000
állólámpa,0,5000,100000
éjjeli lámpa,0,1500,30000
dekorációs fényfüzér,0,1000,20000
napelemes kerti lámpa,0,1000,30000
mozgásérzékelős lámpa,0,2000,30000
villanykapcsoló,0,500,10000
konnektor,0,500,10000
USB-s konnektor,0,1500,15000
dimmer,0,1000,15000
kapcsolócsere,0,3000,20000
konnektorcsere,0,3000,20000
villanyvezeték javítás,0,5000,100000
biztosítéktábla javítás,0,5000,100000
FI-relé,0,5000,30000
kismegszakító,0,1000,10000
villanyóra-szekrény javítás,0,5000,100000
falba süllyesztett kábel kiépítése,0,10000,200000
