nyelvtanfolyam,0,10000,200000
nyelvvizsga,0,20000,80000
pótvizsga,0,5000,50000
online kurzus,0,3000,100000
szakmai tanfolyam,0,10000,300000
munkavédelmi oktatás,0,2000,30000
tűzvédelmi oktatás,0,2000,30000
vezetési vizsga,0,10000,50000
KRESZ-tanfolyam,0,30000,100000
tanfolyami jegyzet,0,1000,20000
tananyag,0,1000,50000
szakmai rendezvény,0,5000,100000
workshop,0,5000,100000
webinar,0,1000,30000
konferencia utazási költség,0,5000,150000
konferenciaszállás,0,10000,150000
nyelvkönyv,0,2000,30000
szótár,0,1000,20000
tankönyv,0,2000,50000
tanfolyam,0,10000,300000
vizsgafelkészítő,0,5000,100000
online vizsga,0,2000,50000
szakmai vizsgadíj,0,5000,100000
elsősegélytanfolyam,0,10000,50000
jogosítvány hosszabbítás,0,5000,30000
vezetési óra,0,5000,15000
pótvezetési óra,0,5000,15000
forgalmi vizsga,0,10000,30000
elméleti vizsga,0,5000,20000
elsősegélyvizsga,0,5000,20000
