temetés,0,100000,1000000
ravatalozás,0,20000,150000
temetkezési szolgáltatás,0,50000,500000
koporsó,0,50000,500000
urna,0,10000,150000
sírhely,0,10000,200000
sírhelymegváltás,0,10000,200000
temetői díj,0,5000,50000
sírkő,0,100000,1000000
sírkőtisztítás,0,10000,50000
sírfelirat,0,5000,50000
koszorú,0,5000,50000
virágcsokor temetésre,0,3000,30000
gyászjelentés,0,1000,20000
halotti értesítő,0,500,10000
temetési szertartás,0,20000,200000
gyászszertartás,0,20000,200000
temetési zene,0,10000,100000
temetői szállítás,0,10000,100000
hagyatéki ügyintézés,0,10000,100000
közjegyzői hagyatéki díj,0,10000,300000
