ügyeleti díj,0,20000,300000
készenléti díj,1,20000,300000
napidíj,0,5000,50000
kiküldetési díj,0,10000,500000
szabadúszó munkadíj,0,30000,200000
tanácsadói díj,0,30000,200000
konzultációs díj,0,10000,1000000
projektmunkadíj,0,50000,5000000
megbízási díj,0,30000,3000000
szakértői díj,0,50000,3000000
óradíj,0,3000,50000
fejlesztési munkadíj,0,50000,500000
programozási munkadíj,0,50000,500000
grafikai munka díja,0,20000,100000
fotózás díja,0,20000,100000
videózás díja,0,30000,200000
fordítási díj,0,10000,100000
tolmácsolási díj,0,20000,100000
korrepetálás díja,0,5000,300000
magántanítás díja,0,5000,500000
nyelvóra díja,0,5000,500000
edzői díj,0,10000,500000
szerelési munkadíj,0,10000,100000
javítási munkadíj,0,10000,100000
karbantartási díj,0,10000,100000
takarítási díj,0,5000,500000
kertészeti munkadíj,0,5000,10000
babysitter díja,0,5000,500000
kutyasétáltatás díja,0,3000,20000
gyermekgondozási díj,0,50000,100000
csecsemőgondozási díj,0,5000,6000
sérelemdíj,0,50000,10000000
verseny pénzdíja,0,10000,10000000
pályázati díj,0,50000,10000000
